"","Идентификатор","Комнатность","Новостройка","Метро.Район","Время.до.метро","Улица","Дом","Этаж","Площадь.общая","Площадь.жилая","Площадь.кухни","Цена.в.руб.","Цена.в.долл.","Цена.в.евро","Источник.получения","Дата.объявления","Контакты","На.сайте","Описание"
"1",24010479,"1","Нет","Чеховская","10п","Страстной б-р","12","04.апр",19,"13",5,7150000,203240,150081,"CENTURY 21","22.01.2014 6:35","Тел.: +7(495)724-42-00, http://http://globus.c21russia.com/, mailto:i.soloduhin@c21russia.com","","Квартира 1-комн., общ.пл.-19.00, жил.пл.-13.00, кухня-5, метро или район:Чеховская, 10 мин. п, адрес:Москва, Страстной б-р, 12, этаж/этажность -4/4, Однокомнатная квартира, по адресу Страстной бульвар 12, на 4-м этаже 4-х этажного кирпичного дома. До метро Чеховская 3 минуты пеш. Общая площадь: 19 кв. м, жилая: 13 кв. м., кухня: 5 кв. м. Сан узел совмещен. В квартире требуется ремонт. Развитая инфраструктура. Окна во двор. Рядом школа, детские сады, парикмахерская, аптека, продуктовые магази ..."
"2",24043288,"1","Нет","Сухаревская","3п","Ананьевский","04.фев","01.май",29,"20,2",NA,7360000,209209,154489,"Н&Ц","31.01.2014 4:35","Тел.: 8-925-771-1449","","Квартира 1-комн., общ.пл.-29, жил.пл.-20.2, кухня-?, метро или район:Сухаревская, 3 мин. пеш., адрес:Москва, Ананьевский, 4/2/2, этаж/этажность -1/5, кладовка, высота потолков 3м, пластик. стеклопакеты, решетки на окнах, домофон. Чистая, уютная кв., Цена:7.36 млн. руб."
"3",23961050,"01.янв","Нет","Китай-город","10п","Серебрянический пер","9","02.май",29,"15",5,8e+06,233508,172432,"ИНКОМ-Недвижимость","14.01.2014 14:35","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251565&ir=bazaincom","Квартира 1-комн., общ.пл.-29.00, жил.пл.-15.00, кухня-5.00, метро или район:Китай-город, 10 мин. п, адрес:Москва, Серебрянический пер, 9, этаж/этажность -2/5, санузел-совм., Лот: вт-0251565, Продается 1к. квартира в историческом центре Москвы в бывшем частном особняке, из кирпича с толщиной внешних и внутрен. стен 80 см. В пешей доступности набережные Москвы-реки и Яузы, бульварное кольцо. В непосредственной близости новые дома с элитным жильем, спецшколы, дет. сады, огорожен. дет. площадка, ..."
"4",23963840,"01.янв","Нет","Цветной бульвар","10п","Самотечный 3-й пер","10","02.апр",18.5,"12,5",2,8300000,242265,178898,"ИНКОМ-Недвижимость","15.01.2014 12:20","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0246546&ir=bazaincom","Квартира 1-комн., общ.пл.-18.50, жил.пл.-12.50, кухня-2.00, метро или район:Цветной бульвар, 10 мин. п, адрес:Москва, Самотечный 3-й пер, 10, этаж/этажность -2/4, санузел-совм., Лот: вт-0246546, Квартира-студия с евроремонтом (только сделали) и встроенной кухней, в тихом центре. В пешей доступности от нескольких станций метро. Свободна. Быстрый выход на сделку., Цена:8.3 млн. руб.|242.265 тыс.$|178.898 тыс. евро"
"5",23313719,"01.янв","Нет","Третьяковская","10п","Татарская Б.","30","02.май",30.3,"16",7,9400000,274372,202608,"ИНКОМ-Недвижимость","08.10.2013 12:35","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0244984&ir=bazaincom","Квартира 1-комн., общ.пл.-30.30, жил.пл.-16.00, кухня-7.00, метро или район:Третьяковская, 10 мин. п, адрес:Москва, Татарская Б., 30, этаж/этажность -2/5, телефон-ЕСТЬ, санузел-разд., Лот: вт-0244984, лифт, квартира с окнами на Китайскую яблоню, после ремонта, более 3-х лет в собственности, огороженный двор, свободна, тихий, московский дворик, 8-903-773-79-18 Содействие в получении специальных условий и преференций по ипотеке., Цена:9.4 млн. руб.|274.372 тыс.$|202.608 тыс. евро"
"6",23642984,"01.янв","Нет","Цветной бульвар","7п","Делегатская","14","3/?",33,"20",5.4,9500000,270039,199408,"Бест.Центр Заг.Недв.","06.11.2013 10:05","Тел.: +7-915-222-46-42, http://http://www.9256601.ru/item17045.html, mailto:dom@9256601.ru","","Квартира 1-комн., общ.пл.-33, жил.пл.-20, кухня-5.4, метро или район:Цветной бульвар, 7 мин. п, адрес:Москва, Делегатская, 14, этаж/этажность -3/?, санузел-разд., Лот N 17045. Продается отличная квартира в историческом центре Москвы. 7 минут пешком до М Цветной бульвар. Дом кирпичный, после реконструкции с полной заменой труб, сантехники, канализации. В доме установлены лифты, мусоропровод, перекрытия ж/б, высокие потолки 4,2м, есть возможность сделать двухэтажную студию. В квартире 3 больши ..."
"7",23734183,"01.янв","Нет","Сухаревская","7п","Щепкина","18","04.апр",44.2,"21,2",12.2,9500000,277291,204763,"ИНКОМ-Недвижимость","23.11.2013 12:36","Тел.: +7(495)363-04-44, mailto:sale_pk@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248930&ir=bazaincom","Квартира 1-комн., общ.пл.-44.20, жил.пл.-21.20, кухня-12.20, метро или район:Сухаревская, 7 мин. п, адрес:Москва, Щепкина, 18/2, этаж/этажность -4/4, балкон:Б, санузел-совм., Лот: вт-0248930, отличная, уютная квартира в историческом центре, дом по индивидуальному проекту, в доме всего 10 квартир, хорошие соседи, 1 взрослый собственник, альтернатива, Цена:9.5 млн. руб.|277.291 тыс.$|204.763 тыс. евро"
"8",23977487,"01.янв","Нет","Красные Ворота","4п","Докучаев пер","17","сен.16",38,"18",10,9600000,280210,206919,"ИНКОМ-Недвижимость","17.01.2014 12:20","Тел.: +7(495)363-16-15, mailto:rent_nc@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251476&ir=bazaincom","Квартира 1-комн., общ.пл.-38.00, жил.пл.-18.00, кухня-10.00, метро или район:Красные Ворота, 4 мин. п, адрес:Москва, Докучаев пер, 17, этаж/этажность -9/16, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0251476, Свободная продажа, менее 3х лет в собственности. Панельный дом после капитального ремонта, в пяти минутах пешком от метро Красные ворота, большая застекленная лоджия, окна во двор., Цена:9.6 млн. руб.|280.21 тыс.$|206.919 тыс. евро"
"9",24017211,"02.фев","Нет","Цветной бульвар","10п","Самотечная","11","02.сен",44.5,"32",5.3,9700000,283129,209074,"ИНКОМ-Недвижимость","23.01.2014 12:20","Тел.: +7(495)363-04-04, mailto:mk-kn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0252288&ir=bazaincom","Квартира 2-комн., общ.пл.-44.50, жил.пл.-32.00, кухня-5.30, метро или район:Цветной бульвар, 10 мин. п, адрес:Москва, Самотечная, 11, этаж/этажность -2/9, телефон-ЕСТЬ, санузел-совм., Лот: вт-0252288, Эксклюзивный договор! Замечательная квартира в центре Москвы. дом блочный, теплый, отличная шумоизоляция, подъезд чистый, ухоженный, после кап.ремонта, рядом шикарный парк, прогулочные зоны, спорткомплекс ""Олимпийский"", театр Зверей Дурова, множество магазинов, перспективное вложение денег! Сод ..."
"10",24043058,"1","Нет","Цветной бульвар",NA,"Троицкая","10","12.дек",33,"Общ, пл, Жилая пл, = 18 кв, м,",7,9800000,278567,205706,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-504-2882, 8-926-246-8070, http://www. an-apartments.ru.","","Квартира 1-комн., общ.пл.-33, жил.пл.-Общ. пл. Жилая пл. = 18 кв. м., кухня-7, метро или район:Цветной бульвар, адрес:Москва, Троицкая, 10, этаж/этажность -12/12, дизайнерский евроремонт, сус с душ. кабиной, встр. кухонный гарнитур, большая застекленная лоджия., Цена:9.8 млн. руб.Торг!  Срочно!."
"11",23455340,"02.фев","Нет","Сухаревская","5п","Васнецова пер","11","03.май",45,"32,2",6,1e+07,284252,209904,"Азбука Жилья","19.10.2013 5:05","Тел.: +7 (495) 795-0569, http://http://www.azbuka-vtorich.ru/67902, mailto:vtorich@azbuka.ru","","Квартира 2-комн., общ.пл.-45, жил.пл.-32.2, кухня-6, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Васнецова пер, 11/2, этаж/этажность -3/5, балкон:Б, санузел-разд., В собственности более 3-х лет, отличное расположение дома (в шаговой доступности 3 станции метро), комнаты смежные, 17.1 и 15.1 кв.м., альтернатива. Менеджер по продажам: 8-903-233-47-45, Цена:10 млн. руб."
